	RAM	DAPE
87	0.803491201	0.695648238
88	0.803259625	0.694798565
89	0.80294652	0.697482403
90	0.802770676	0.685877314
91	0.802614967	0.703781249
92	0.802481905	0.683402189
93	0.802193096	0.701458182
94	0.80122694	0.71254301
95	0.800748068	0.693732284
96	0.80056837	0.700697587
97	0.800496113	0.701233799
98	0.800347732	0.677386394
99	0.800313697	0.690799092
100	0.799790164	0.686329694
101	0.79960824	0.716800558
102	0.798806795	0.713497382
103	0.798363025	0.68717221
104	0.797336139	0.681948743
105	0.796607469	0.708952387
106	0.796073812	0.687733236
107	0.795886952	0.702112931
108	0.795810301	0.694226669
109	0.795578749	0.703976671
110	0.795523293	0.692520116
111	0.795313717	0.686421599
112	0.795260029	0.703935724
113	0.794747494	0.69554103
114	0.794541482	0.701772517
115	0.793920298	0.67687465
116	0.793788226	0.674415614
117	0.793690493	0.702437279
118	0.792646341	0.698923005
119	0.79258457	0.689041928
120	0.792006953	0.720146994
121	0.791539932	0.707818962
122	0.791394922	0.707812055
123	0.791270785	0.699918366
124	0.791264179	0.692527396
125	0.791212464	0.707259415
126	0.791167436	0.693640415
127	0.79103402	0.683913214
128	0.790497873	0.683273301
129	0.790033795	0.678366538
130	0.78889106	0.691388309
131	0.788459191	0.702372842
132	0.788237092	0.685880916
133	0.788061707	0.692786965
134	0.787991279	0.677899399
135	0.787785262	0.665614709
136	0.787622004	0.695367293
137	0.787558646	0.674163576
138	0.787402028	0.683812057
139	0.787353957	0.702379007
140	0.78595562	0.689206355
141	0.785701068	0.693930577
142	0.785227375	0.681680816
143	0.785099829	0.696361751
144	0.784896629	0.694403513
145	0.784406578	0.725642459
146	0.78421045	0.677837152
147	0.784192077	0.686860346
148	0.783827831	0.703152539
149	0.783800791	0.696849074
150	0.783150542	0.673544508
151	0.7829812	0.682278353
152	0.782062265	0.684615151
153	0.7820586	0.698398358
154	0.781903696	0.680362369
155	0.78189074	0.683576347
156	0.781391478	0.680485411
157	0.781283695	0.697185497
158	0.781199451	0.685844017
159	0.780775498	0.685658922
160	0.780718339	0.702710468
161	0.780666349	0.680868989
162	0.780362629	0.673444469
163	0.780164627	0.704664823
164	0.779702034	0.690645719
165	0.779547392	0.684645665
166	0.779443096	0.676798683
167	0.779291216	0.70864014
168	0.779181043	0.698654953
169	0.77899742	0.697967446
170	0.778862815	0.684987616
171	0.778805511	0.68663452
172	0.778680584	0.68864199
173	0.778441349	0.685616002
174	0.777989157	0.680939058
175	0.777696285	0.727243307
176	0.777518762	0.67793293
177	0.776898194	0.700332813
178	0.77641961	0.695982784
179	0.776127352	0.688389386
180	0.775995438	0.688284423
181	0.775551578	0.682326685
182	0.775526654	0.696286769
183	0.775400616	0.682998529
184	0.775287232	0.675033205
185	0.775021177	0.70717669
186	0.774855025	0.701864056
187	0.774592324	0.68723135
188	0.774552781	0.652497244
189	0.774215829	0.690056131
190	0.774208743	0.684779972
191	0.77385878	0.695683467
192	0.773347849	0.687372456
193	0.773084564	0.712714568
194	0.772942206	0.685141803
195	0.772935252	0.681519404
196	0.77246954	0.671812907
197	0.772231972	0.675633933
198	0.772227609	0.673405619
199	0.771919017	0.683657622
200	0.771087591	0.659019393
201	0.770851159	0.679186617
202	0.770528762	0.684106863
203	0.77039938	0.669902045
204	0.77021016	0.685557645
205	0.769875406	0.679674568
206	0.769244197	0.706926649
207	0.769183514	0.672697912
208	0.769018998	0.670169618
209	0.767973883	0.688154191
210	0.767628853	0.673341065
211	0.767459316	0.662976833
212	0.767386149	0.682804078
213	0.767278539	0.684087979
214	0.767005916	0.672599103
215	0.76695173	0.679283293
216	0.766772008	0.673633635
217	0.766715482	0.680699374
218	0.766463403	0.678099645
219	0.766260869	0.670990235
220	0.766195416	0.656788783
221	0.765766125	0.697106227
222	0.765391465	0.702339186
223	0.765371918	0.70285017
224	0.765235951	0.675812564
225	0.76514644	0.657908772
226	0.764593751	0.693355035
227	0.764372686	0.669541461
228	0.764342774	0.676577404
229	0.764299943	0.684821088
230	0.764107401	0.701966225
231	0.764067458	0.672259467
232	0.763525073	0.675513914
233	0.763519453	0.708863868
234	0.763084278	0.698853121
235	0.762710771	0.662428606
236	0.761668073	0.674897665
237	0.761649647	0.668628577
238	0.761628557	0.68123782
239	0.761589154	0.680028659
240	0.761344342	0.67172178
241	0.761303569	0.697305687
242	0.761222938	0.657384024
243	0.761006616	0.668028624
244	0.760589639	0.667296957
245	0.760374409	0.664876994
246	0.760345444	0.659727933
247	0.760005266	0.65968288
248	0.759760736	0.672602844
249	0.759205558	0.663492017
250	0.759199291	0.676483522
251	0.759181029	0.694169485
252	0.759012521	0.664603183
253	0.758942974	0.691314513
254	0.758887988	0.697038332
255	0.758880483	0.709955458
256	0.758814375	0.674438832
257	0.758813341	0.677153535
258	0.758584847	0.702561774
259	0.758558573	0.692527701
260	0.758488393	0.662195922
261	0.758220595	0.687857741
262	0.757825308	0.679063175
263	0.757414433	0.667926951
264	0.757388899	0.666452744
265	0.757021302	0.660223001
266	0.75669197	0.680586851
267	0.756601751	0.657499439
268	0.756537131	0.664689035
269	0.75636902	0.635129826
270	0.756212336	0.678518298
271	0.756154893	0.682867103
272	0.75562208	0.670468986
273	0.755381198	0.680679598
274	0.754801834	0.677962694
275	0.754658238	0.672333418
276	0.753389877	0.670614269
277	0.753125763	0.682611041
278	0.752863591	0.673956338
279	0.752807367	0.673645475
280	0.752744882	0.677032951
281	0.752467019	0.675917715
282	0.752411648	0.681679331
283	0.751706313	0.644105127
284	0.751623508	0.665126439
285	0.751204155	0.680783054
286	0.750910903	0.666198845
287	0.750544626	0.667506908
288	0.750519611	0.669781882
289	0.750439843	0.682051867
290	0.750248782	0.665618407
291	0.749914114	0.692654657
292	0.74990979	0.658325044
293	0.749633987	0.693810748
294	0.74954788	0.674289923
295	0.749497123	0.689642163
296	0.749041511	0.670675525
297	0.748683909	0.653096685
298	0.748167665	0.649307852
299	0.747808673	0.671093414
300	0.747781586	0.678553696
301	0.747705731	0.673408043
302	0.747430756	0.670715273
303	0.747228154	0.667493615
304	0.746972344	0.673658145
305	0.746936129	0.655979255
306	0.74684939	0.673537016
307	0.746848143	0.648422245
308	0.746760328	0.663902435
309	0.746633834	0.685515
310	0.746580731	0.697688697
311	0.746340733	0.681190566
312	0.745337587	0.675019841
313	0.74526706	0.67848147
314	0.745030083	0.673564219
315	0.744929129	0.673662781
316	0.744834481	0.672504715
317	0.743815057	0.670714577
318	0.743474632	0.657070383
319	0.743309607	0.675904496
320	0.743305972	0.662412095
321	0.742077824	0.673073065
322	0.741834422	0.678459104
323	0.741820853	0.662186019
324	0.741730136	0.670727429
325	0.741569739	0.661361941
326	0.740760019	0.64130837
327	0.740394008	0.644977618
328	0.740244811	0.656837669
329	0.740024794	0.705036059
330	0.739714474	0.675862057
331	0.739623415	0.679709732
332	0.739216947	0.660126834
333	0.738286656	0.669217721
334	0.737962805	0.676382134
335	0.737922263	0.670445502
336	0.737711224	0.664965312
